水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,0.200,33.7741515600,130.7148843000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,0.200,33.7734714500,130.7171407000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,0.400,33.7727392300,130.7139746000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,0.400,33.7718834900,130.7166515000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,0.600,33.7706482700,130.7133989000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,0.600,33.7701042900,130.7158276000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,0.800,33.7688461100,130.7129956000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,0.800,33.7679848600,130.7144376000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,1.000,33.7678553300,130.7117386000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,1.000,33.7667422800,130.7121873000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,1.200,33.7669910900,130.7099204000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,1.200,33.7661217700,130.7110431000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,1.400,33.7651121600,130.7086297000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,1.400,33.7649046400,130.7100307000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,1.600,33.7633375200,130.7083714000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,1.600,33.7632799300,130.7097579000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,1.800,33.7613580000,130.7082286000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,1.800,33.7613731400,130.7095174000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,2.000,33.7599318100,130.7077760000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,2.000,33.7593553900,130.7087741000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,2.200,33.7583304900,130.7066041000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,2.200,33.7579517300,130.7080263000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,2.400,33.7564924500,130.7069059000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,2.400,33.7565995900,130.7080389000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,2.600,33.7552436200,130.7063866000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,2.600,33.7548618000,130.7073452000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,2.800,33.7532885600,130.7060022000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,2.800,33.7531770700,130.7070704000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,3.000,33.7512711600,130.7058420000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,3.000,33.7517879900,130.7069491000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,3.200,33.7498013500,130.7052451000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,3.200,33.7494447900,130.7062277000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,3.400,33.7483868300,130.7045264000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,3.400,33.7481024400,130.7056133000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,3.600,33.7467912800,130.7032234000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,3.600,33.7461993400,130.7040823000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,3.800,33.7453531700,130.7019400000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,3.800,33.7448468400,130.7028654000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,4.000,33.7437568600,130.7011505000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,4.000,33.7433840200,130.7021334000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,4.200,33.7422841000,130.7002602000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,4.200,33.7417720000,130.7012841000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,4.400,33.7412625400,130.6991147000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,4.400,33.7404716900,130.6996811000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,4.600,33.7406642100,130.6969411000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,4.600,33.7397678000,130.6971321000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,4.800,33.7403998500,130.6948816000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,4.800,33.7395170100,130.6951518000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,5.000,33.7398554600,130.6926194000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,5.000,33.7389898500,130.6933366000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,5.200,33.7384999800,130.6916767000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,5.200,33.7383253000,130.6927740000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,5.400,33.7367932700,130.6911749000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,5.400,33.7364896500,130.6921420000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,5.600,33.7351488500,130.6905432000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,5.600,33.7350573300,130.6916014000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,5.800,33.7331818900,130.6907446000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,5.800,33.7333545500,130.6916584000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,6.000,33.7313300600,130.6911887000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,6.000,33.7312300100,130.6921891000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,6.200,33.7300017900,130.6906766000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,6.200,33.7294447900,130.6916473000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,6.400,33.7282207000,130.6893973000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,6.400,33.7276296900,130.6903091000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,6.600,33.7271422700,130.6881131000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,6.600,33.7264728100,130.6890845000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,左岸,6.800,33.7267279600,130.6872286000,,,
遠賀川水系,犬鳴川,8909010040,九州地方整備局,遠賀川河川事務所,宮田出張所,右岸,6.800,33.7252285900,130.6871611000,,,
