0.000,0.000,6.098,5.970,2.822,1.384,70,3.040,4.119,4.602,0.000,0,20150630,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
14,51.920,4.736
0,54.420,4.674
14,57.330,4.601
4,57.330,4.601
19,57.330,4.601
19,57.330,5.601
0,57.330,4.601
5,57.440,4.566
0,57.510,4.566
0,57.510,4.416
0,57.590,4.416
0,57.590,2.916
0,59.390,2.916
0,59.390,4.416
0,59.470,4.416
0,59.470,4.566
5,59.540,4.566
14,59.540,4.566
19,59.660,4.569
19,59.660,5.569
14,59.660,4.569
14,66.650,4.655
14,75.430,4.706
14,83.000,4.750
0.600,200.000,7.386,6.793,-9999.000,-9999.000,96,5.026,5.496,5.007,0.000,0,20150806,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
0,-36.840,5.252
10,-34.900,5.203
10,-34.800,4.951
8,-34.800,4.951
8,-34.800,4.925
5,-34.800,4.925
0,-34.800,4.525
0,-33.000,4.525
0,-33.000,4.825
0,-32.900,4.825
0,-32.900,4.925
5,-32.800,4.925
4,-32.800,4.925
14,-32.800,4.925
0,-29.250,4.922
0,-27.630,4.901
28,-22.670,4.881
14,-15.840,5.026
4,-15.840,5.026
24,-15.840,5.026
10,-15.840,5.026
10,-15.690,5.370
0,-14.200,5.508
3,-9.840,7.510
0,-6.200,7.719
0,-1.660,7.623
8,-1.470,7.567
2,0.000,7.066
1,0.000,7.386
2,0.000,7.066
8,2.460,6.184
24,11.550,3.325
0,12.390,3.124
0,13.290,2.865
13,14.200,2.587
17,14.960,1.738
17,16.260,1.722
0,16.500,1.946
0,17.810,2.308
0,19.180,2.221
0,19.460,2.021
0,21.130,1.955
16,21.310,1.781
0,21.580,1.650
16,22.010,1.750
0,22.380,1.994
0,23.130,2.136
0,23.700,1.959
16,23.930,1.738
0,24.200,1.497
0,24.340,1.559
16,24.560,1.729
0,25.240,2.053
0,27.090,2.232
0,27.340,1.989
0,27.850,1.966
16,28.980,1.784
17,28.980,1.784
0,29.670,1.663
17,30.000,1.774
16,30.000,1.774
13,30.550,2.651
25,30.840,2.761
8,41.080,6.145
2,42.040,6.463
18,42.040,6.793
2,42.040,6.463
8,42.900,6.790
0,43.870,7.033
0,46.880,7.018
3,51.180,6.854
10,54.720,5.357
10,54.880,5.007
25,54.880,5.007
4,54.880,5.007
14,54.880,5.007
0,57.180,4.964
14,59.970,4.872
4,59.970,4.872
19,59.970,4.872
19,59.970,5.972
0,59.970,4.872
5,60.070,4.835
0,60.150,4.835
0,60.150,4.685
0,60.220,4.685
0,60.220,3.285
0,61.920,3.285
0,61.920,4.685
0,61.990,4.685
0,61.990,4.835
5,62.070,4.835
0,62.810,4.933
0,64.520,5.384
0,74.810,5.496
0,84.150,5.551
0.800,200.000,6.679,6.674,-9999.000,-9999.000,85,5.127,5.218,5.310,0.000,0,20150806,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
0,-45.610,4.966
0,-34.660,4.810
0,-29.840,4.825
28,-24.240,4.839
5,-21.510,5.035
0,-21.430,5.035
0,-21.430,4.905
0,-21.360,4.905
0,-21.360,3.505
0,-19.960,3.505
0,-19.960,4.905
0,-19.890,4.905
0,-19.890,5.035
5,-19.810,5.035
4,-19.810,5.035
14,-19.810,5.035
0,-17.060,5.074
14,-14.810,5.127
4,-14.810,5.127
24,-14.810,5.127
10,-14.810,5.127
10,-14.610,5.604
7,-13.240,5.706
26,-11.590,5.840
3,-9.800,6.609
0,-5.620,6.789
0,-1.610,6.891
8,-0.910,6.723
2,0.000,6.349
1,0.000,6.679
2,0.000,6.349
8,0.880,5.972
24,8.660,3.481
13,9.400,3.321
0,10.250,3.071
17,10.810,2.484
17,13.370,2.498
0,14.010,3.183
0,14.920,3.283
0,17.040,2.926
16,17.820,2.385
0,17.990,2.284
0,19.070,2.260
16,19.940,2.391
0,20.190,2.511
0,21.930,2.762
17,22.230,2.500
17,23.960,2.619
13,24.970,3.285
25,26.600,3.454
8,34.400,5.960
2,35.310,6.364
18,35.310,6.674
2,35.310,6.364
8,36.160,6.774
0,36.800,6.933
0,39.760,6.871
0,41.400,6.857
0,42.000,7.192
0,44.040,7.135
0,44.580,6.751
3,45.340,6.617
26,46.940,5.902
7,48.350,5.809
10,48.760,5.785
10,48.970,5.310
25,48.970,5.310
4,48.970,5.310
14,48.970,5.310
0,51.000,5.295
14,53.980,5.227
4,53.980,5.227
5,53.980,5.227
0,54.060,5.227
0,54.060,5.077
0,54.130,5.077
0,54.130,3.677
0,55.830,3.677
0,55.830,5.077
0,55.900,5.077
0,55.900,5.227
5,55.980,5.227
0,58.480,5.256
0,67.410,5.218
0,78.130,5.272
1.000,200.000,7.333,7.249,-9999.000,-9999.000,92,5.664,5.091,5.715,0.000,0,20150806,8505040026,ãeêÏêÖån,â∫è¨ä}êÏ
0,-30.660,6.373
28,-25.810,6.453
0,-23.220,6.082
0,-22.140,5.498
5,-21.730,5.499
0,-21.660,5.499
0,-21.660,5.369
0,-21.590,5.369
0,-21.590,4.169
0,-20.790,4.169
0,-20.790,5.369
0,-20.720,5.369
0,-20.720,5.499
5,-20.650,5.499
14,-20.650,5.499
19,-20.500,5.517
19,-20.500,6.617
4,-20.500,5.517
0,-16.520,5.582
4,-13.600,5.664
14,-13.600,5.664
24,-13.600,5.664
10,-13.600,5.664
10,-13.420,6.075
26,-12.310,6.150
3,-10.270,7.101
0,-3.000,7.511
0,-1.430,7.473
8,-0.770,7.316
2,0.000,7.023
1,0.000,7.333
2,0.000,7.023
8,0.920,6.705
24,8.140,4.220
13,9.180,4.128
0,10.410,3.639
16,11.050,2.959
17,11.050,2.959
0,12.190,2.705
17,12.940,2.964
16,12.940,2.964
0,13.230,3.563
0,14.110,3.708
0,16.210,3.630
0,16.860,3.110
0,17.810,3.114
0,18.100,3.533
0,18.330,3.567
16,18.910,2.996
0,20.010,2.941
16,21.150,2.986
0,21.480,3.774
0,22.130,3.876
16,22.510,2.986
0,23.090,2.760
16,23.990,2.973
13,24.400,3.831
25,26.020,4.047
8,33.960,6.612
2,34.920,6.939
18,34.920,7.249
2,34.920,6.939
8,35.810,7.281
0,36.500,7.456
0,39.220,7.503
3,45.170,7.164
7,46.570,6.507
26,47.230,6.259
