水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-3.800,43.1860877100,141.6329818000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-3.800,43.1945693700,141.6288961000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-3.600,43.1874743000,141.6349230000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-3.600,43.1899478600,141.6337313000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-3.400,43.1885996300,141.6370305000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-3.400,43.1906234400,141.6360043000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-3.200,43.1897640300,141.6394468000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-3.200,43.1914456600,141.6380212000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-3.000,43.1909960800,141.6417351000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-3.000,43.1924952900,141.6398067000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-2.800,43.1926036800,141.6435351000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-2.800,43.1940491800,141.6407404000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-2.600,43.1941973500,141.6447323000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-2.600,43.1955204100,141.6421462000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-2.400,43.1957122800,141.6460632000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-2.400,43.1969910000,141.6435624000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-2.200,43.1972044200,141.6474412000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-2.200,43.1984663000,141.6449751000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-2.000,43.1986363100,141.6488517000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-2.000,43.1999547800,141.6464481000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-1.800,43.2000330200,141.6503250000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-1.800,43.2014041600,141.6479919000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-1.600,43.2013960300,141.6518585000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-1.600,43.2028204800,141.6495922000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-1.400,43.2027201900,141.6534551000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-1.400,43.2041938300,141.6512622000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-1.200,43.2040115300,141.6551201000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-1.200,43.2055243300,141.6529749000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-1.000,43.2053028400,141.6568353000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-1.000,43.2068230700,141.6546815000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-0.800,43.2066386100,141.6585609000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-0.800,43.2080971200,141.6563411000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-0.600,43.2080292800,141.6602373000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-0.600,43.2094198800,141.6578914000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-0.400,43.2094490700,141.6618231000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-0.400,43.2108250800,141.6593572000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,-0.200,43.2108671000,141.6632482000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,-0.200,43.2123557600,141.6607756000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,1.400,43.2121788800,141.6646178000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,1.400,43.2141591600,141.6622339000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,1.600,43.2132583100,141.6664536000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,1.600,43.2142662300,141.6655969000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,1.800,43.2140227100,141.6684554000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,1.800,43.2150733600,141.6678531000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,2.000,43.2146034700,141.6704911000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,2.000,43.2159984100,141.6701903000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,2.200,43.2148486400,141.6728632000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,2.200,43.2162753400,141.6727115000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,2.400,43.2150174200,141.6753435000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,2.400,43.2163332700,141.6752860000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,2.600,43.2145695400,141.6776037000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,2.600,43.2162610600,141.6777773000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,2.800,43.2147110600,141.6801201000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,2.800,43.2160250300,141.6803118000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,3.000,43.2143681200,141.6822980000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,3.000,43.2156346700,141.6827461000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,3.200,43.2135581400,141.6844145000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,3.200,43.2150882700,141.6851640000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,3.400,43.2129221000,141.6865857000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,3.400,43.2143859900,141.6875063000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,3.600,43.2121345500,141.6886569000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,3.600,43.2135449900,141.6897417000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,3.800,43.2112260200,141.6907242000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,3.800,43.2126326000,141.6918392000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,4.000,43.2103392800,141.6928586000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,4.000,43.2117045400,141.6939780000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,4.200,43.2094133100,141.6949604000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,4.200,43.2107846000,141.6960789000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,4.400,43.2085031300,141.6970560000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,4.400,43.2098660800,141.6981836000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,4.600,43.2078341300,141.6993973000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,4.600,43.2089481300,141.7002933000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,4.800,43.2068946300,141.7014911000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,4.800,43.2080565000,141.7024164000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,5.000,43.2060096300,141.7036271000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,5.000,43.2070962100,141.7045143000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,5.200,43.2050824400,141.7057139000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,5.200,43.2061841800,141.7066287000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,5.400,43.2041723700,141.7079313000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,5.400,43.2053302900,141.7086971000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,5.600,43.2035143400,141.7102823000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,5.600,43.2047364100,141.7108259000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,5.800,43.2028816500,141.7127981000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,5.800,43.2044030600,141.7130904000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,6.000,43.2030635200,141.7154654000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,6.000,43.2043428900,141.7153475000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,6.200,43.2031911800,141.7180748000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,6.200,43.2045582000,141.7176287000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,6.400,43.2037477900,141.7205548000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,6.400,43.2050503200,141.7198322000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,6.600,43.2043320600,141.7229145000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,6.600,43.2057503400,141.7221556000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,6.800,43.2052570800,141.7251155000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,6.800,43.2064463600,141.7243077000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,7.000,43.2067562200,141.7268218000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,7.000,43.2074191400,141.7257665000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,7.200,43.2072852500,141.7286131000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,7.200,43.2079307100,141.7286687000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,7.400,43.2084187500,141.7308538000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,7.400,43.2086317800,141.7299236000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,7.600,43.2091632400,141.7321398000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,7.600,43.2099266900,141.7320558000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,7.800,43.2091342600,141.7343995000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,7.800,43.2097921700,141.7346579000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,8.000,43.2088486200,141.7372475000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,8.000,43.2096874800,141.7367599000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,8.200,43.2099558700,141.7401753000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,8.200,43.2106151600,141.7395072000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,8.400,43.2098410400,141.7414927000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,8.400,43.2107400300,141.7415302000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,8.600,43.2093974400,141.7438021000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,8.600,43.2105009600,141.7441267000,20080229,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,8.800,43.2096846700,141.7464634000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,8.800,43.2103366600,141.7465282000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,9.000,43.2101246800,141.7490708000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,9.000,43.2108205700,141.7484283000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,9.200,43.2103154100,141.7508948000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,9.200,43.2110083800,141.7512532000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,9.400,43.2096794100,141.7532345000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,9.400,43.2103568800,141.7535535000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,9.600,43.2096962400,141.7559542000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,9.600,43.2103734700,141.7556493000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,9.800,43.2089559200,141.7573140000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,9.800,43.2094096900,141.7580004000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,左岸,10.000,43.2082246100,141.7598883000,20030228,,
石狩川水系,幾春別川,8101030182,北海道開発局,石狩川開発建設部,,右岸,10.000,43.2088357600,141.7598241000,20030228,,
