水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,0.000,34.4359936900,133.4131491000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,0.000,34.4313936000,133.4071490000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,0.200,34.4375936400,133.4121490000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,0.200,34.4327935600,133.4061489000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,0.400,34.4373935400,133.4081488000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,0.400,34.4339934900,133.4041488000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,0.600,34.4391935200,133.4081488000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,0.600,34.4356935100,133.4041488000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,0.800,34.4400934800,133.4061487000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,0.800,34.4369933900,133.4021487000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,1.000,34.4414934600,133.4041485000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,1.000,34.4381933500,133.4001486000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,1.200,34.4422933700,133.4021485000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,1.200,34.4389933100,133.3991485000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,1.400,34.4434933300,133.4001485000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,1.400,34.4403932600,133.3971485000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,1.600,34.4448932300,133.3991484000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,1.600,34.4418931600,133.3951483000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,1.800,34.4460932400,133.3971483000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,1.800,34.4430931600,133.3941483000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,2.000,34.4474932000,133.3961482000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,2.000,34.4441931100,133.3921482000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,2.200,34.4488931100,133.3941481000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,2.200,34.4450930700,133.3911481000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,2.400,34.4501930000,133.3921480000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,2.400,34.4465930500,133.3891481000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,2.600,34.4516930000,133.3901478000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,2.600,34.4475929600,133.3881480000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,2.800,34.4525929400,133.3891478000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,2.800,34.4484929500,133.3861478000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,3.000,34.4535928400,133.3871478000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,3.000,34.4496928400,133.3841478000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,3.200,34.4543928400,133.3851476000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,3.200,34.4507928100,133.3821477000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,3.400,34.4553927600,133.3831476000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,3.400,34.4518927300,133.3811476000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,3.600,34.4562926800,133.3811475000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,3.600,34.4527927000,133.3791476000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,3.800,34.4573926900,133.3791475000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,3.800,34.4539926500,133.3771475000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,左岸,4.000,34.4581926600,133.3781473000,20060331,,
芦田川水系,芦田川,8707100001,中国地方整備局,福山河川国道事務所,芦田川河口堰管理支所,右岸,4.000,34.4549926200,133.3751474000,20060331,,
