水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.000,43.1714980200,142.5653669000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.000,43.5243352900,141.9033203000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.000,43.5268292300,141.8913575000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.000,43.1725937100,142.5641169000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.250,43.5259876900,141.9031764000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.250,43.1729893900,142.5677271000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.250,43.5284663500,141.8963682000,20050210,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.250,43.1738059400,142.5667628000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.500,43.5276999500,141.9036660000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.500,43.1735008800,142.5699734000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.500,43.1748818800,142.5700071000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.500,43.5321075000,141.8954039000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.750,43.1730085600,142.5724068000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,0.750,43.5296648600,141.9046212000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.750,43.1738484400,142.5731903000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,0.750,43.5347073800,141.8969966000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.000,43.5319021000,141.9057277000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.000,43.1717203800,142.5750095000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.000,43.1725096500,142.5755788000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.000,43.5347562800,141.9012615000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.250,43.5348797800,141.9071705000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.250,43.1709960800,142.5780832000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.250,43.5355310300,141.9016276000,20050210,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.250,43.1718513700,142.5783784000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.500,43.5371706900,141.9083110000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.500,43.1701162300,142.5801720000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.500,43.5378538100,141.9028415000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.500,43.1710145100,142.5813320000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.750,43.5391723500,141.9092911000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,1.750,43.1684465000,142.5814537000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.750,43.5400653300,141.9039710000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,1.750,43.1690295500,142.5834184000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,2.000,43.1662075600,142.5831029000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,2.000,43.5410388700,141.9102037000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,2.000,43.1671383200,142.5844476000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,2.000,43.5423727800,141.9051875000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,左岸,2.250,43.1653569400,142.5864792000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,2.250,43.5429098300,141.9114017000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,2.250,43.5444198100,141.9063673000,20030228,,
石狩川水系,空知川上流,8101030250,北海道開発局,石狩川開発建設部,,右岸,2.250,43.1665787600,142.5868497000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,2.500,43.5439167000,141.9124063000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,2.500,43.5466941100,141.9085061000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,2.750,43.5449166900,141.9137678000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,2.750,43.5486145100,141.9112184000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,3.000,43.5458263500,141.9161697000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,3.000,43.5498152100,141.9144515000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,3.250,43.5467337100,141.9186999000,20050210,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,3.250,43.5504447600,141.9172996000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,3.500,43.5469478200,141.9218126000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,3.500,43.5509390500,141.9199549000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,3.750,43.5476615800,141.9250548000,20050210,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,3.750,43.5513085700,141.9234581000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,4.000,43.5480746300,141.9278924000,20050210,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,4.000,43.5517858700,141.9269028000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,4.250,43.5484548400,141.9304547000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,4.250,43.5522605800,141.9302955000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,4.500,43.5488998700,141.9335843000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,4.500,43.5526679500,141.9332008000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,4.750,43.5499987200,141.9377380000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,4.750,43.5529708200,141.9344032000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,5.000,43.5515580700,141.9403949000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,5.000,43.5540695200,141.9367784000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,5.250,43.5534654000,141.9428429000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,5.250,43.5557587600,141.9390919000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,5.500,43.5547328700,141.9444699000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,5.500,43.5570843200,141.9408900000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,左岸,5.750,43.5561182900,141.9463689000,20030228,,
石狩川水系,空知川,8101030250,北海道開発局,石狩川開発建設部,,右岸,5.750,43.5585786300,141.9429154000,20030228,,
