水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,左岸,0.000,37.9705683100,140.1478833000,20051209,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,右岸,0.000,37.9713316900,140.1487140000,20051209,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,左岸,0.200,37.9696781700,140.1500175000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,右岸,0.200,37.9703285400,140.1503887000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,左岸,0.400,37.9686964500,140.1514691000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,右岸,0.400,37.9690096700,140.1522738000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,左岸,0.600,37.9671167100,140.1516279000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,右岸,0.600,37.9670469900,140.1524337000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,左岸,0.800,37.9651940400,140.1519830000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,右岸,0.800,37.9654697300,140.1528356000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,左岸,1.000,37.9636427900,140.1534881000,20051213,,
最上川水系,天王川,8202110516,東北地方整備局,山形河川国道事務所,南陽出張所,右岸,1.000,37.9641625500,140.1539962000,20051213,,
