水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,0.000,34.9322090900,138.3963877000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,0.000,34.9296011400,138.3892143000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,0.250,34.9338779100,138.3948252000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,0.250,34.9309491400,138.3886987000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,0.500,34.9357314200,138.3934631000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,0.500,34.9327520100,138.3874103000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,0.750,34.9376079200,138.3921042000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,0.750,34.9343659800,138.3862144000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,1.000,34.9397223700,138.3903496000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,1.000,34.9363330100,138.3846487000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,1.250,34.9416334800,138.3889663000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,1.250,34.9386961300,138.3834645000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,1.500,34.9442153500,138.3881334000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,1.500,34.9404671800,138.3819227000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,1.750,34.9461810000,138.3868171000,20031211,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,右岸,1.750,34.9423420600,138.3805609000,20031205,,
安倍川水系,安倍川,8505020001,中部地方整備局,静岡河川事務所,安倍川出張所,左岸,2.000,34.9478409300,138.3854330000,20031211,,
