水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,-0.110,35.5044508600,133.8551017000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,-0.110,35.5046109300,133.8589011000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,-0.080,35.5041805000,133.8551101000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,-0.080,35.5043405000,133.8589019000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,-0.050,35.5037299800,133.8551238000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,-0.050,35.5038898000,133.8589026000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,0.000,35.5032765700,133.8550682000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,0.000,35.5034419800,133.8589707000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,0.200,35.5016013900,133.8551292000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,0.200,35.5015891900,133.8589620000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,0.400,35.4999950000,133.8550642000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,0.400,35.4998754300,133.8588003000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,0.600,35.4984197300,133.8548192000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,0.600,35.4977902500,133.8583127000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,0.800,35.4966782600,133.8543899000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,0.800,35.4960551600,133.8576887000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,1.000,35.4949121500,133.8536926000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,1.000,35.4940118200,133.8568622000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,1.200,35.4935785800,133.8531761000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,1.200,35.4924410900,133.8560452000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,1.400,35.4921021200,133.8519633000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,右岸,1.400,35.4906782800,133.8547151000,20070327,,
天神川水系,天神川,8707020001,中国地方整備局,倉吉河川国道事務所,天神川出張所,左岸,1.600,35.4912377300,133.8506772000,20070327,,
