水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,0.000,35.3157650200,139.3741932000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,0.000,35.3140595900,139.3669747000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,0.200,35.3167359300,139.3740019000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,0.200,35.3159695700,139.3668034000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,0.400,35.3184838000,139.3737008000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,0.400,35.3178012900,139.3668137000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,0.600,35.3204054800,139.3732610000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,0.600,35.3194569300,139.3665833000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,0.800,35.3220787500,139.3728973000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,0.800,35.3213126800,139.3661410000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,1.000,35.3236974500,139.3725503000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,1.000,35.3231406900,139.3659620000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,1.200,35.3256032600,139.3721561000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,1.200,35.3249145600,139.3656981000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,1.400,35.3272671500,139.3705212000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,1.400,35.3266396100,139.3651672000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,1.600,35.3290630100,139.3707957000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,1.600,35.3283945200,139.3646865000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,1.800,35.3308793400,139.3711440000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,1.800,35.3302121300,139.3649881000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,2.000,35.3324800000,139.3715989000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,右岸,2.000,35.3322253600,139.3648533000,20060218,,
相模川水系,相模川,8303070001,関東地方整備局,京浜河川事務所,相模川出張所,左岸,2.200,35.3340857300,139.3714425000,20060218,,
