水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,0.000,35.6023349600,137.9341287000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,0.000,35.6033709600,137.9327875000,20000899,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,0.200,35.6037864000,137.9356241000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,0.200,35.6046730300,137.9340273000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,0.400,35.6050847700,137.9368074000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,0.400,35.6060852600,137.9353833000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,0.600,35.6067762300,137.9378856000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,0.600,35.6076142500,137.9367594000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,0.800,35.6078745800,137.9398066000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,0.800,35.6084951000,137.9386819000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,1.000,35.6087345100,137.9411579000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,1.000,35.6102017100,137.9405349000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,1.200,35.6083635100,137.9422289000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,1.200,35.6104069500,137.9436469000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,1.400,35.6074501500,137.9437556000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,1.400,35.6086059800,137.9448879000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,1.600,35.6060992300,137.9464263000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,1.600,35.6074768900,137.9469312000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,1.800,35.6057870300,137.9481494000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,1.800,35.6078434800,137.9489641000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,2.000,35.6053016500,137.9501861000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,2.000,35.6068867600,137.9505867000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,2.200,35.6051403400,137.9517525000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,2.200,35.6065516300,137.9527204000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,2.400,35.6039060900,137.9534319000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,2.400,35.6051386700,137.9546139000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,2.600,35.6024192200,137.9553180000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,2.600,35.6036123100,137.9561104000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,2.800,35.6015533400,137.9570088000,20001099,19981299,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,2.800,35.6027640500,137.9574621000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,左岸,3.000,35.6015546000,137.9589563000,20001099,,
天竜川水系,小渋川,8505050446,中部地方整備局,天竜川上流河川事務所,駒ヶ根出張所,右岸,3.000,35.6024910800,137.9589895000,20001099,19981299,
