水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,-0.320,36.4832216300,140.6161048000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,-0.320,36.4807785100,140.6157106000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,0.000,36.4838487800,140.6131907000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,0.000,36.4806162200,140.6121473000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,2.000,36.4846154800,140.6087569000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,2.000,36.4845740800,140.6087525000,20030424,20030499,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,2.500,36.4846866800,140.6043463000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,2.500,36.4846866800,140.6043463000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,3.000,36.4861414100,140.5999952000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,3.000,36.4837725200,140.5966943000,20030424,20030499,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,3.500,36.4895257500,140.5956949000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,3.500,36.4895257500,140.5956949000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,4.000,36.4911857200,140.5901701000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,4.000,36.4886154300,140.5877238000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,4.500,36.4931226800,140.5851196000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,4.500,36.4931226800,140.5851196000,,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,左岸,5.000,36.4954169100,140.5805958000,20000308,,
久慈川水系,久慈川,8303010001,関東地方整備局,常陸河川国道事務所,久慈川下流出張所,右岸,5.000,36.4924953200,140.5786401000,20000308,,
