水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-2.000,35.0652230500,136.8459787000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-1.800,35.0669840400,136.8464864000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-1.600,35.0688109600,136.8470110000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-1.400,35.0706376900,136.8476641000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-1.200,35.0726257100,136.8484321000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-1.000,35.0747659000,136.8487584000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-0.800,35.0769168100,136.8492515000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-0.600,35.0790517500,136.8489498000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-0.400,35.0811262200,136.8481375000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,-0.200,35.0830276400,136.8473741000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,0.000,35.0847839600,136.8467651000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,0.200,35.0865118800,136.8461196000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,0.400,35.0881956400,136.8454454000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,0.600,35.0898962800,136.8447498000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,0.800,35.0915556500,136.8440598000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,1.000,35.0933075100,136.8433399000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第一出張所,左岸,1.200,35.0949862500,136.8426478000,20060311,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,1.400,35.0966566100,136.8419640000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,1.600,35.0984307600,136.8411867000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,1.800,35.1001534400,136.8406171000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,2.000,35.1018958000,136.8404617000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,2.200,35.1036866700,136.8403091000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第一出張所,右岸,2.200,35.1030455200,136.8367324000,20060311,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,2.400,35.1054459200,136.8400996000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第一出張所,右岸,2.400,35.1049095100,136.8364553000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,2.600,35.1073337400,136.8399668000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第一出張所,右岸,2.600,35.1067419400,136.8362096000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,2.800,35.1090418500,136.8394793000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第一出張所,右岸,2.800,35.1084339600,136.8359400000,,,
庄内川水系,庄内川,8505080001,中部地方整備局,庄内川河川事務所,庄内川第二出張所,左岸,3.000,35.1106103800,136.8386429000,,,
