水系名,河川名,河川番号,地方整備局名,事務所名,管轄出張所名,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,0.000,34.4366987800,132.4753106000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,0.000,34.4370253400,132.4746345000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,0.200,34.4382213400,132.4764255000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,0.200,34.4384992900,132.4757438000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,0.400,34.4400038100,132.4770900000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,0.400,34.4401085400,132.4762929000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,0.600,34.4417796100,132.4775837000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,0.600,34.4419481800,132.4765654000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,0.800,34.4435950400,132.4776432000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,0.800,34.4436589900,132.4768023000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,1.000,34.4452487500,132.4768801000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,1.000,34.4450363100,132.4763176000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,1.200,34.4467664500,132.4753487000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,1.200,34.4462366900,132.4748946000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,1.400,34.4478328300,132.4737972000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,1.400,34.4474877100,132.4732722000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,1.600,34.4492218300,132.4732066000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,1.600,34.4492365800,132.4724903000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,1.800,34.4509107700,132.4734348000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,1.800,34.4510461400,132.4727264000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,2.000,34.4523091200,132.4743865000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,2.000,34.4526777700,132.4737471000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,2.200,34.4537930800,132.4758410000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,2.200,34.4541900100,132.4752968000,20060399,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,2.400,34.4551641200,132.4770559000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,2.400,34.4554918000,132.4764334000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,2.600,34.4569777400,132.4781349000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,2.600,34.4570929000,132.4776191000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,2.800,34.4588033800,132.4785097000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,2.800,34.4588583600,132.4779777000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,3.000,34.4605950800,132.4786935000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,3.000,34.4606196000,132.4781663000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,3.200,34.4623766400,132.4787338000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,3.200,34.4623723200,132.4782405000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,3.400,34.4640897300,132.4788694000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,3.400,34.4641328600,132.4783963000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,3.600,34.4656216200,132.4794688000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,3.600,34.4658353600,132.4790637000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,3.800,34.4668778100,132.4806774000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,3.800,34.4672446200,132.4802774000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,4.000,34.4679530400,132.4824336000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,4.000,34.4682163300,132.4821141000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,4.200,34.4694120600,132.4837060000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,右岸,4.200,34.4696289000,132.4833227000,20060499,,
太田川水系,第一古川,8707090025,中国地方整備局,太田川河川事務所,大芝出張所,左岸,4.400,34.4708943300,132.4850814000,20060499,,
